route_id,name
30300001,1
30300002,2
30300003,3
30300004,5
30300005,11
30300006,21
30300007,22
30300008,23
30300009,24
30300010,25
30300011,26
30300012,27
30300013,30
30300014,31
30300015,32
30300016,34
30300017,41
30300018,42
30300021,46
30300025,52
30300026,60
30300027,61-1
30300028,61-2
30300029,62
30300030,63
30300034,74
30300035,75
30300036,101
30300037,102
30300038,103
30300039,104
30300040,105
30300041,106
30300042,107
30300043,108
30300045,113
30300046,114
30300047,115
30300048,116
30300049,119
30300050,121
30300051,201
30300052,202
30300053,211
30300054,301
30300055,311
30300056,312
30300057,313
30300058,314
30300059,315
30300060,316
30300061,317
30300062,318
30300063,501
30300064,511
30300065,512
30300066,513
30300067,514
30300068,601
30300069,602
30300070,603
30300071,604
30300072,605
30300073,606
30300074,607
30300075,611
30300076,612
30300077,613
30300078,614
30300079,615
30300080,616
30300081,617
30300082,618
30300083,619
30300084,620
30300086,701
30300087,703
30300088,704
30300089,705
30300090,706
30300091,711
30300092,712
30300093,802
30300094,911
30300095,916
30300096,918
30300098,72-2
30300099,73
30300100,1
30300101,216
30300103,1
30300104,3
30300108,117
30300118,71-1
30300119,71-2
30300120,72-1
30300127,212
30300128,B1
30300129,1002
30300130,608
30300131,203
30300137,20
30300141,66
30300144,622
30300145,912
30300146,213
30300147,33-1
30300148,33-2
30300149,특구1
30300150,2
30300151,1001
30300152,707
69690109,43
69690110,45
69690111,47
69690112,48
69690113,100
69690115,300
69690116,2002
69690136,47-1
71000303,407
71000321,A3
93000039,655
93000077,B2
93000169,1000
93000179,1004
93000205,661
93000211,691
93000227,300
93000283,1005
93000318,B4
93000319,A2
10000001,지하철 1호선
